ID_REF	VALUE
200758_s_at	9.84631
200759_x_at	10.7811
200760_s_at	7.28448
200761_s_at	10.0086
200762_at	13.2631
200763_s_at	10.1613
200764_s_at	7.61622
200765_x_at	8.38635
200766_at	7.34483
200767_s_at	7.90157
200768_s_at	10.8308
200769_s_at	6.5191
200770_s_at	7.00461
200771_at	7.59082
200772_x_at	9.36465
200773_x_at	11.8136
200774_at	8.53652
200775_s_at	8.53206
200776_s_at	7.15492
200777_s_at	7.58579
200778_s_at	7.60503
200779_at	9.61107
200780_x_at	10.6742
200781_s_at	8.35925
200782_at	6.94675
200783_s_at	8.53791
200784_s_at	9.35243
200785_s_at	8.06358
200786_at	8.11471
200787_s_at	7.43338
200788_s_at	11.4651
200789_at	6.85474
200790_at	7.90875
200791_s_at	8.46361
200792_at	7.79373
200793_s_at	7.66679
200794_x_at	8.87045
200795_at	12.0851
200796_s_at	6.57515
200797_s_at	7.99845
200798_x_at	6.7323
200799_at	10.5582
200800_s_at	7.96549
200801_x_at	13.6055
200802_at	9.06983
200803_s_at	8.09063
200804_at	10.2893
200805_at	6.90851
200806_s_at	7.34899
200807_s_at	8.05293
200808_s_at	7.18095
200809_x_at	9.73324
200810_s_at	11.0505
200811_at	10.7418
200812_at	7.74551
200813_s_at	7.5042
200814_at	8.09446
200815_s_at	6.67952
200816_s_at	8.84548
200817_x_at	12.1768
200818_at	8.2085
200819_s_at	11.2297
200820_at	7.04039
200821_at	7.51613
200822_x_at	10.0604
200823_x_at	8.02132
200824_at	9.05067
200825_s_at	9.47134
200826_at	8.89716
200827_at	7.21394
200828_s_at	6.40029
200829_x_at	7.66681
200830_at	8.29219
200831_s_at	9.43128
200832_s_at	11.4223
200833_s_at	9.35311
200834_s_at	10.7975
200835_s_at	6.9787
200836_s_at	8.86406
200837_at	8.45325
200838_at	7.93598
200839_s_at	9.96317
200840_at	6.98582
200841_s_at	6.68534
200842_s_at	7.53862
200843_s_at	7.83884
200844_s_at	8.492
200845_s_at	9.16688
200846_s_at	7.04894
200847_s_at	10.3482
200848_at	8.10808
200849_s_at	10.2136
200850_s_at	10.8846
200851_s_at	8.73527
200852_x_at	8.09216
200853_at	6.93122
200854_at	8.71277
200855_at	7.48224
200856_x_at	7.83042
200857_s_at	6.89437
200858_s_at	7.36091
200859_x_at	8.21409
200860_s_at	8.78226
200861_at	8.32911
200862_at	8.85107
200863_s_at	8.02538
200864_s_at	6.45452
200865_at	6.19128
200866_s_at	6.97099
200867_at	6.81372
200868_s_at	6.56543
200869_at	8.12334
200870_at	8.57863
200871_s_at	11.3553
200872_at	8.97587
200873_s_at	6.80293
200874_s_at	7.45517
200875_s_at	6.81016
200876_s_at	6.8041
200877_at	8.41454
200878_at	8.67626
200879_s_at	7.45637
200880_at	8.71016
200881_s_at	7.17764
200882_s_at	8.55142
200883_at	6.46009
200884_at	9.46744
200885_at	7.30709
200886_s_at	10.9123
200887_s_at	8.39644
200888_s_at	13.0509
200889_s_at	7.03283
200890_s_at	7.15277
200891_s_at	9.45557
200892_s_at	6.63702
200893_at	9.3078
200894_s_at	6.91045
200895_s_at	9.34325
200896_x_at	10.471
200897_s_at	7.4308
200898_s_at	7.37075
200899_s_at	8.84636
200900_s_at	7.44081
200901_s_at	7.79487
200902_at	6.80654
200903_s_at	7.0998
200904_at	7.50061
200905_x_at	8.76965
200906_s_at	6.65107
200907_s_at	7.35638
200908_s_at	8.80264
200909_s_at	9.02565
200910_at	7.05365
200911_s_at	10.0244
200912_s_at	11.9804
200913_at	7.52926
200914_x_at	7.44463
200915_x_at	8.35452
200916_at	7.64285
200917_s_at	6.68604
200918_s_at	8.40309
200919_at	7.41987
200920_s_at	6.49641
200921_s_at	6.85134
200922_at	6.44006
200923_at	7.10191
200924_s_at	9.32278
200925_at	10.8496
200926_at	12.3253
200927_s_at	6.77023
200928_s_at	6.593
200929_at	7.09544
200930_s_at	6.23456
200931_s_at	8.8603
200932_s_at	9.42264
200933_x_at	10.4985
200934_at	7.13974
200935_at	6.74627
200936_at	9.24909
200937_s_at	9.39341
200938_s_at	6.55138
200939_s_at	6.43476
200940_s_at	9.74315
200941_at	9.7475
200942_s_at	8.77754
200943_at	6.75981
200944_s_at	8.31243
200945_s_at	7.06137
200946_x_at	8.80417
200947_s_at	8.76469
200948_at	7.55909
200949_x_at	12.5594
200950_at	7.22951
200951_s_at	6.7237
200952_s_at	7.12249
200953_s_at	11.706
200954_at	8.98481
200955_at	7.44483
200956_s_at	6.92434
200957_s_at	9.02675
200958_s_at	10.0525
200959_at	8.25283
200960_x_at	9.43108
200961_at	7.95835
200962_at	6.69499
200963_x_at	12.0462
200964_at	8.24416
200965_s_at	8.56402
200966_x_at	9.0902
200967_at	6.75005
200968_s_at	6.49877
200969_at	7.07693
200970_s_at	7.83293
200971_s_at	7.71089
200972_at	8.47052
200973_s_at	6.49842
200974_at	6.9061
200975_at	9.65551
200976_s_at	9.19825
200977_s_at	7.17775
200978_at	9.75861
200979_at	7.0095
200980_s_at	7.63253
200981_x_at	10.295
200982_s_at	8.12105
200983_x_at	7.10431
200984_s_at	7.51451
200985_s_at	8.75365
200986_at	6.72162
200987_x_at	7.24249
200988_s_at	7.08608
200989_at	10.4404
200990_at	7.31122
200991_s_at	8.49676
200992_at	8.92698
200993_at	6.94223
200994_at	8.4043
200995_at	7.4267
200996_at	6.58292
200997_at	7.87927
200998_s_at	7.26973
200999_s_at	8.44435
201000_at	8.95818
201001_s_at	7.23726
201002_s_at	7.61448
201003_x_at	7.32599
201004_at	10.1465
201005_at	6.43782
