ID_REF	VALUE
200758_s_at	10.3044
200759_x_at	11.2409
200760_s_at	7.99257
200761_s_at	9.62532
200762_at	11.452
200763_s_at	12.6583
200764_s_at	8.01849
200765_x_at	8.35951
200766_at	7.75804
200767_s_at	7.9415
200768_s_at	9.43803
200769_s_at	6.7955
200770_s_at	6.42352
200771_at	6.84051
200772_x_at	11.2307
200773_x_at	12.6084
200774_at	8.39917
200775_s_at	8.40346
200776_s_at	7.04641
200777_s_at	7.34697
200778_s_at	8.72258
200779_at	10.2796
200780_x_at	13.8727
200781_s_at	10.9679
200782_at	7.39494
200783_s_at	8.60574
200784_s_at	9.69076
200785_s_at	8.5436
200786_at	8.3697
200787_s_at	11.0695
200788_s_at	13.2831
200789_at	7.81607
200790_at	7.84148
200791_s_at	7.89287
200792_at	8.85077
200793_s_at	9.63896
200794_x_at	9.17394
200795_at	13.358
200796_s_at	6.57288
200797_s_at	9.41807
200798_x_at	6.30589
200799_at	10.2124
200800_s_at	9.13981
200801_x_at	13.7821
200802_at	9.48464
200803_s_at	8.03361
200804_at	10.6443
200805_at	7.78773
200806_s_at	8.12105
200807_s_at	9.34763
200808_s_at	7.68024
200809_x_at	11.1446
200810_s_at	9.88509
200811_at	10.15
200812_at	7.9726
200813_s_at	7.59353
200814_at	8.13442
200815_s_at	6.914
200816_s_at	8.86487
200817_x_at	13.3712
200818_at	9.2141
200819_s_at	13.7229
200820_at	7.63771
200821_at	6.66736
200822_x_at	11.5036
200823_x_at	10.2588
200824_at	9.70473
200825_s_at	10.6834
200826_at	10.267
200827_at	7.39123
200828_s_at	7.4237
200829_x_at	7.85186
200830_at	9.18078
200831_s_at	10.9365
200832_s_at	11.3386
200833_s_at	7.68853
200834_s_at	11.437
200835_s_at	7.80024
200836_s_at	10.5076
200837_at	8.79817
200838_at	8.20148
200839_s_at	10.1246
200840_at	7.00728
200841_s_at	6.88518
200842_s_at	8.40826
200843_s_at	8.16252
200844_s_at	9.31947
200845_s_at	8.89384
